1550846755 0.0
1551430362 0.0
1551430663 0.0
1551430964 0.0
1551431265 0.0
1551431566 0.0
1551431867 0.0
1551432168 0.0
1551432469 0.0
1551432771 0.0
1551433072 0.0
1551433373 0.0
1551433674 0.0
1551433975 0.0
1551434276 0.0
1551435407 9.0
1551435408 247.0
1551435409 220.0
1551435410 173.0
1551435411 137.0
1551435412 103.0
1551435413 63.0
1551435414 36.0
1551435415 9.0
1551435562 27.0
1551435563 204.0
1551435565 191.0
1551435566 117.0
1551435567 47.0
1551435568 2.0
1551436453 9.0
1551436651 11.0
1551436652 402.0
1551436654 425.0
1551436655 342.0
1551436656 247.0
1551436657 150.0
1551436658 56.0
1551436662 18.0
1551436663 229.0
1551436664 279.0
1551436665 225.0
1551436666 128.0
1551436667 22.0
1551436969 0.0
1551437269 0.0
1551437429 60.0
1551437430 175.0
1551437431 168.0
1551437432 117.0
1551437433 49.0
1551437734 0.0
1551438035 0.0
1551438336 0.0
1551438637 0.0
1551438712 2.0
1551438714 4.0
1551438715 103.0
1551438716 119.0
1551438717 42.0
1551439018 0.0
1551440826 4.0
1551441127 0.0
1551441428 0.0
1551441729 0.0
1551441830 2.0
1551441831 297.0
1551441832 483.0
1551441833 495.0
1551441834 436.0
1551441835 310.0
1551441837 171.0
1551441838 85.0
1551441839 18.0
1551442140 0.0
1551442441 0.0
1551442741 0.0
1551443042 0.0
1551443343 0.0
1551443644 0.0
1551443945 0.0
1551444246 0.0
1551444547 0.0
1551444848 0.0
1551445149 0.0
1551445450 0.0
1551445751 0.0
1551446052 0.0
1551446353 0.0
1551446654 0.0
1551446956 0.0
1551447257 0.0
1551447558 0.0
1551447859 0.0
1551448160 0.0
1551448461 0.0
1551448762 0.0
1551449063 0.0
1551449364 0.0
1551449665 0.0
1551449966 0.0
1551450267 0.0
1551450568 0.0
1551450869 0.0
1551451170 0.0
1551451471 0.0
1551451772 0.0
1551452073 0.0
1551452375 0.0
1551452676 0.0
1551452977 0.0
1551453278 0.0
1551453579 0.0
1551453880 0.0
1551454181 0.0
1551454482 0.0
1551454783 0.0
1551455084 0.0
1551455385 0.0
1551455686 0.0
1551455987 0.0
1551456288 0.0
1551456589 0.0
1551456890 0.0
1551457191 0.0
1551457492 0.0
1551457793 0.0
1551458095 0.0
1551458396 0.0
1551458697 0.0
1551458998 0.0
1551459299 0.0
1551459600 0.0
1551459901 0.0
1551460202 0.0
1551460503 0.0
1551460804 0.0
